Study,Condition,Reaction,GPR,Flux,Median_Log_TPM,aceK_Median_Log_TPM
Muconate_Study,m9-EX_glc_e:3.72-EX_glcn_e:3.72,ICL,PP_4116,0,[5.161806168],3.784866142
Muconate_Study,m9-EX_glc_e:3.72-EX_glcn_e:3.72,ICDHyr,PP_4012 or PP_4011,2.20332584610297,"[7.919818979, 7.833404771]",3.784866142
Muconate_Study,m9-EX_glc_e:3.72-EX_glcn_e:3.72,FUM,PP_0944 or PP_1755 or PP_0897,2.14589358094159,"[7.604176141, 5.629246357, 2.053731391]",3.784866142
Muconate_Study,m9-EX_glc_e:3.72-EX_glcn_e:3.72,CS,PP_4194,2.20332584610297,[7.775406137],3.784866142
Muconate_Study,m9-EX_glc_e:3.72-EX_glcn_e:3.72,SUCOAS,PP_4186 and PP_4185,-1.67578931159082,"[9.415441502, 9.167080147]",3.784866142
Muconate_Study,m9-EX_glc_e:3.72-EX_fru_e:0.66,ICL,PP_4116,1.00983631263195,[4.923215659],3.638835507
Muconate_Study,m9-EX_glc_e:3.72-EX_fru_e:0.66,ICDHyr,PP_4012 or PP_4011,1.49798921011517,"[7.553452826, 7.304303577]",3.638835507
Muconate_Study,m9-EX_glc_e:3.72-EX_fru_e:0.66,FUM,PP_0944 or PP_1755 or PP_0897,2.43925594368603,"[7.474766216, 5.396360616, 1.227001767]",3.638835507
Muconate_Study,m9-EX_glc_e:3.72-EX_fru_e:0.66,CS,PP_4194,2.50782552274712,[7.485565978],3.638835507
Muconate_Study,m9-EX_glc_e:3.72-EX_fru_e:0.66,SUCOAS,PP_4186 and PP_4185,-0.868152340383492,"[9.098778779, 8.710465788]",3.638835507
Muconate_Study,m9-EX_glc_e:2.48-EX_glcn_e:2.48-EX_fru_e:0.44,ICL,PP_4116,0,[5.807061428],4.583475234
Muconate_Study,m9-EX_glc_e:2.48-EX_glcn_e:2.48-EX_fru_e:0.44,ICDHyr,PP_4012 or PP_4011,1.69203557456037,"[8.695657817, 7.198488376]",4.583475234
Muconate_Study,m9-EX_glc_e:2.48-EX_glcn_e:2.48-EX_fru_e:0.44,FUM,PP_0944 or PP_1755 or PP_0897,1.64654353404749,"[7.16251751, 6.207565969, 1.299202201]",4.583475234
Muconate_Study,m9-EX_glc_e:2.48-EX_glcn_e:2.48-EX_fru_e:0.44,CS,PP_4194,1.69203557456037,[7.47026983],4.583475234
Muconate_Study,m9-EX_glc_e:2.48-EX_glcn_e:2.48-EX_fru_e:0.44,SUCOAS,PP_4186 and PP_4185,-1.27417440658075,"[8.886885236, 8.717109006]",4.583475234
Multistress_Study,m9-EX_glc_e:7.44-control,ICL,PP_4116,1.70138913824588,[5.52544308],3.328014697
Multistress_Study,m9-EX_glc_e:7.44-control,ICDHyr,PP_4012 or PP_4011,2.64484255400556,"[5.768654272, 9.708903081]",3.328014697
Multistress_Study,m9-EX_glc_e:7.44-control,FUM,PP_0944 or PP_1755 or PP_0897,4.23070451663959,"[8.900166574, 5.070270359, 1.880529854]",3.328014697
Multistress_Study,m9-EX_glc_e:7.44-control,CS,PP_4194,4.34623169225143,[9.536227795],3.328014697
Multistress_Study,m9-EX_glc_e:7.44-control,SUCOAS,PP_4186 and PP_4185,-1.58368284364087,"[11.28416992, 11.06254083]",3.328014697
Multistress_Study,m9-EX_glc_e:7.44-osmotic_stress_7min,ICL,PP_4116,1.7020057039594,[4.802134371],2.626633521
Multistress_Study,m9-EX_glc_e:7.44-osmotic_stress_7min,ICDHyr,PP_4012 or PP_4011,2.64441670681655,"[5.277854432, 8.627081946]",2.626633521
Multistress_Study,m9-EX_glc_e:7.44-osmotic_stress_7min,FUM,PP_0944 or PP_1755 or PP_0897,4.23089732683462,"[8.118275406, 4.409742728, 1.340373608]",2.626633521
Multistress_Study,m9-EX_glc_e:7.44-osmotic_stress_7min,CS,PP_4194,4.34642241077595,[8.512750245],2.626633521
Multistress_Study,m9-EX_glc_e:7.44-osmotic_stress_7min,SUCOAS,PP_4186 and PP_4185,-1.58327620921679,"[10.23040676, 10.10350366]",2.626633521
Multistress_Study,m9-EX_glc_e:7.44-osmotic_stress_60min,ICL,PP_4116,1.7066898606822,[4.637112979],2.485944372
Multistress_Study,m9-EX_glc_e:7.44-osmotic_stress_60min,ICDHyr,PP_4012 or PP_4011,2.60672360042351,"[5.057873776, 9.414801108]",2.485944372
Multistress_Study,m9-EX_glc_e:7.44-osmotic_stress_60min,FUM,PP_0944 or PP_1755 or PP_0897,4.19752635755143,"[6.65994897, 7.59214898, 3.434294272]",2.485944372
Multistress_Study,m9-EX_glc_e:7.44-osmotic_stress_60min,CS,PP_4194,4.3134134611057,[8.90280221],2.485944372
Multistress_Study,m9-EX_glc_e:7.44-osmotic_stress_60min,SUCOAS,PP_4186 and PP_4185,-1.54225781917897,"[10.01952477, 9.806736983]",2.485944372
Multistress_Study,m9-EX_glc_e:7.44-EX_h2o2_e:0.5-oxidative_stress_7min,ICL,PP_4116,1.70272711738058,[9.179138786],4.152071812
Multistress_Study,m9-EX_glc_e:7.44-EX_h2o2_e:0.5-oxidative_stress_7min,ICDHyr,PP_4012 or PP_4011,2.64457136725344,"[7.517102709, 9.021207139]",4.152071812
Multistress_Study,m9-EX_glc_e:7.44-EX_h2o2_e:0.5-oxidative_stress_7min,FUM,PP_0944 or PP_1755 or PP_0897,4.23067976978615,"[7.738935294, 5.10884889, 1.248237825]",4.152071812
Multistress_Study,m9-EX_glc_e:7.44-EX_h2o2_e:0.5-oxidative_stress_7min,CS,PP_4194,4.34729848463402,[9.344213992],4.152071812
Multistress_Study,m9-EX_glc_e:7.44-EX_h2o2_e:0.5-oxidative_stress_7min,SUCOAS,PP_4186 and PP_4185,-1.58249374255459,"[10.54632488, 10.33144514]",4.152071812
Multistress_Study,m9-EX_glc_e:7.44-EX_h2o2_e:0.5-oxidative_stress_60min,ICL,PP_4116,1.70087438154526,[8.518744842],4.758051799
